epoch,loss,mse,val_loss,val_mse
0,0.5452945232391357,0.004787564277648926,0.026497285813093185,0.0016236433293670416
1,0.27286678552627563,0.0010965709807351232,0.02033497579395771,0.0008636998245492578
2,0.21064238250255585,0.0006060536252334714,0.014566291123628616,0.0004702828882727772
3,0.18015408515930176,0.0004278430715203285,0.01379761379212141,0.0003948422381654382
4,0.16285409033298492,0.00033528340281918645,0.012463953346014023,0.00030964656616561115
5,0.14954769611358643,0.0002754396991804242,0.012434893287718296,0.0002926283050328493
6,0.1392037570476532,0.000232782811508514,0.011326402425765991,0.0002488599857315421
7,0.1317746937274933,0.0002067966852337122,0.010687094181776047,0.00021780599490739405
8,0.12626415491104126,0.000186715682502836,0.009593766182661057,0.00018031965009868145
9,0.12052829563617706,0.00016965817485470325,0.009964224882423878,0.0001883170916698873
10,0.11609315872192383,0.00015565144713036716,0.00893059466034174,0.00015611645358148962
11,0.11278581619262695,0.00014667700452264398,0.009731011465191841,0.0001756749552441761
12,0.1087176725268364,0.00013541604857891798,0.009518270380795002,0.00016935791063588113
13,0.1060529574751854,0.0001285174221266061,0.009255400858819485,0.00015898574201855808
14,0.10273412615060806,0.00012066648196196184,0.00840197317302227,0.00013492396101355553
15,0.10058117657899857,0.00011521776468725875,0.008604335598647594,0.00014143370208330452
16,0.09790639579296112,0.00010922669025603682,0.008209642954170704,0.00013131227751728147
17,0.09587650001049042,0.00010432667477289215,0.008544177748262882,0.00013613079499918967
18,0.09414765983819962,0.00010094851313624531,0.007756633684039116,0.00011931922199437395
19,0.09182234853506088,9.587599924998358e-05,0.0076582119800150394,0.00011332766734994948
20,0.09019465744495392,9.239677456207573e-05,0.007321023847907782,0.00010574141197139397
21,0.08856415003538132,8.898838859749958e-05,0.007433554157614708,0.00010885354276979342
22,0.08737456053495407,8.635349513497204e-05,0.007518457714468241,0.00011077779345214367
23,0.08533862978219986,8.253146370407194e-05,0.007087306119501591,9.86721643130295e-05
24,0.08470182865858078,8.130065543809906e-05,0.006810807157307863,9.320867684436962e-05
25,0.08273522555828094,7.769944204483181e-05,0.006908582989126444,9.3046561232768e-05
26,0.08176905661821365,7.595591159770265e-05,0.006780295167118311,9.283232793677598e-05
27,0.08063223958015442,7.414350693579763e-05,0.007298056501895189,0.00010477728210389614
28,0.07965660095214844,7.230418850667775e-05,0.006674763280898333,8.889666787581518e-05
