epoch,accuracy,loss,val_accuracy,val_loss
0,0.4572106599807739,18.54421615600586,0.5167708396911621,1.3690452575683594
1,0.6225810050964355,9.415543556213379,0.7227083444595337,0.8828840851783752
2,0.7875115871429443,5.732746601104736,0.8418750166893005,0.5453386306762695
3,0.8679745197296143,3.770737409591675,0.8911458253860474,0.39239031076431274
4,0.9021990895271301,2.7173476219177246,0.9133333563804626,0.29726436734199524
5,0.9261689782142639,2.006169319152832,0.9320833086967468,0.22934798896312714
6,0.9442592859268188,1.4877514839172363,0.9458333253860474,0.18055292963981628
7,0.9568287134170532,1.1395148038864136,0.9588541388511658,0.13877160847187042
8,0.9660532474517822,0.9006557464599609,0.9651041626930237,0.11149078607559204
9,0.9736689925193787,0.7137413620948792,0.9695833325386047,0.09206022322177887
10,0.9797222018241882,0.5770399570465088,0.9793750047683716,0.06943456083536148
11,0.9850810170173645,0.4555710256099701,0.9837499856948853,0.059497471898794174
12,0.9890509247779846,0.3555904030799866,0.9869791865348816,0.04812823235988617
13,0.9915740489959717,0.28634899854660034,0.9881250262260437,0.04145844280719757
14,0.9930092692375183,0.24138253927230835,0.9902083277702332,0.03325759992003441
15,0.9951967597007751,0.18170125782489777,0.9917708039283752,0.031087122857570648
16,0.9953935146331787,0.17209872603416443,0.9918749928474426,0.02968662977218628
17,0.9960995316505432,0.14588326215744019,0.9927083253860474,0.02602163702249527
18,0.9963425993919373,0.13789892196655273,0.9901041388511658,0.028543660417199135
19,0.9974652528762817,0.10475405305624008,0.9920833110809326,0.024958593770861626
20,0.9980555772781372,0.08338847011327744,0.9931250214576721,0.02125542238354683
21,0.9978009462356567,0.08549270778894424,0.9934375286102295,0.020639726892113686
22,0.9971411824226379,0.10245610028505325,0.9915624856948853,0.023888474330306053
23,0.9982754588127136,0.07369279861450195,0.9901041388511658,0.027434885501861572
24,0.9986342787742615,0.06630131602287292,0.9952083230018616,0.015283370390534401
25,0.9982523322105408,0.06495388597249985,0.9957291483879089,0.013912192545831203
26,0.9990162253379822,0.041867222636938095,0.995520830154419,0.01472188625484705
27,0.9985416531562805,0.06108730658888817,0.996666669845581,0.010283860377967358
28,0.9993634223937988,0.03559114411473274,0.9977083206176758,0.009458704851567745
29,0.9986689686775208,0.05307859554886818,0.9860416650772095,0.05287892743945122
30,0.9992014169692993,0.03589946776628494,0.9967708587646484,0.00976946484297514
31,0.998587965965271,0.05719376727938652,0.9979166388511658,0.008442150428891182
32,0.9990741014480591,0.03817976638674736,0.9961458444595337,0.012389270588755608
33,0.9993749856948853,0.030560681596398354,0.996874988079071,0.009466493502259254
34,0.9989814758300781,0.04076904430985451,0.9977083206176758,0.007650633808225393
35,0.9990162253379822,0.03681890293955803,0.9957291483879089,0.013674668036401272
36,0.9991666674613953,0.03551866486668587,0.9932291507720947,0.021621426567435265
37,0.9994907379150391,0.025218380615115166,0.9964583516120911,0.009849071502685547
38,0.9989351630210876,0.04527626186609268,0.9969791769981384,0.00836505088955164
39,0.9997684955596924,0.016529448330402374,0.9976041913032532,0.00782299879938364
